Points Scored,FG,FG%,3P,3P%,ORB,Assists,Steals,OffRank,OppDefRank,Pace
87.0,44.0,0.478,9.0,0.3,13.0,29.0,11.0,118.0,118.0,
112.0,38.0,0.437,6.0,0.2,7.0,24.0,4.0,105.3,105.3,
104.0,48.0,0.533,15.0,0.455,12.0,33.0,6.0,128.3,128.3,
116.0,39.0,0.453,12.0,0.414,13.0,20.0,9.0,121.4,121.4,
122.0,43.0,0.512,18.0,0.45,9.0,25.0,5.0,128.6,128.6,
101.0,39.0,0.419,17.0,0.415,10.0,16.0,6.0,102.1,102.1,
123.0,45.0,0.511,17.0,0.405,9.0,20.0,11.0,132.2,132.2,
106.0,39.0,0.375,15.0,0.357,14.0,19.0,8.0,103.0,103.0,
132.0,44.0,0.463,21.0,0.457,14.0,19.0,6.0,136.7,136.7,
121.0,45.0,0.459,13.0,0.419,19.0,17.0,8.0,123.6,123.6,
99.0,37.0,0.416,17.0,0.362,11.0,15.0,7.0,102.9,102.9,
106.0,37.0,0.42,11.0,0.314,10.0,22.0,7.0,100.9,100.9,
118.0,42.0,0.488,6.0,0.222,11.0,20.0,6.0,121.4,121.4,
129.0,38.0,0.437,8.0,0.348,10.0,20.0,6.0,108.9,108.9,
121.0,45.0,0.529,18.0,0.45,10.0,15.0,7.0,130.0,130.0,
115.0,42.0,0.438,20.0,0.426,15.0,26.0,6.0,117.5,117.5,
126.0,46.0,0.511,18.0,0.439,7.0,26.0,6.0,133.7,133.7,
111.0,45.0,0.506,6.0,0.231,12.0,23.0,8.0,112.5,112.5,
100.0,37.0,0.44,12.0,0.308,13.0,15.0,6.0,104.8,104.8,
106.0,41.0,0.471,14.0,0.341,7.0,21.0,0.0,116.9,116.9,
93.0,32.0,0.386,11.0,0.297,10.0,19.0,5.0,99.9,99.9,
123.0,43.0,0.489,15.0,0.441,11.0,25.0,12.0,115.1,115.1,
108.0,41.0,0.423,15.0,0.357,17.0,27.0,8.0,110.2,110.2,
123.0,49.0,0.476,11.0,0.379,18.0,25.0,3.0,124.6,124.6,
121.0,49.0,0.59,13.0,0.542,5.0,28.0,6.0,131.4,131.4,
125.0,43.0,0.483,13.0,0.325,7.0,26.0,6.0,125.6,125.6,
112.0,39.0,0.438,17.0,0.378,9.0,22.0,6.0,115.5,115.5,
125.0,46.0,0.523,16.0,0.485,10.0,38.0,8.0,125.1,125.1,
101.0,33.0,0.398,10.0,0.27,10.0,24.0,6.0,99.7,99.7,
125.0,44.0,0.543,19.0,0.452,5.0,25.0,4.0,129.5,129.5,
92.0,48.0,0.558,19.0,0.514,8.0,23.0,4.0,141.6,141.6,
112.0,43.0,0.494,9.0,0.3,10.0,25.0,5.0,124.4,124.4,
125.0,44.0,0.478,20.0,0.435,10.0,24.0,3.0,129.9,129.9,
112.0,40.0,0.471,18.0,0.45,10.0,21.0,7.0,113.4,113.4,
122.0,46.0,0.474,10.0,0.294,13.0,24.0,7.0,123.2,123.2,
124.0,42.0,0.512,16.0,0.533,6.0,27.0,11.0,123.1,123.1,
109.0,49.0,0.544,12.0,0.308,4.0,25.0,7.0,118.9,118.9,
133.0,30.0,0.353,8.0,0.235,12.0,17.0,4.0,83.1,83.1,
116.0,37.0,0.402,11.0,0.306,14.0,18.0,4.0,117.3,117.3,
103.0,38.0,0.396,13.0,0.271,9.0,18.0,3.0,105.9,105.9,
118.0,37.0,0.446,9.0,0.346,9.0,25.0,9.0,106.5,106.5,
98.0,41.0,0.494,12.0,0.414,6.0,21.0,12.0,117.6,117.6,
